Restaurant Name,Address,City,State,Zip
Eleven Madison Park,11 Madison Ave,New York,NY,10010
Le Bernardin,155 W 51st St,New York,NY,10019
Masa,10 Columbus Cir #4,New York,NY,10019
Per Se,10 Columbus Cir 4th floor,New York,NY,10019
Chef's Table at Brooklyn Fare,431 W 37th St,New York,NY,10018
The Modern,9 W 53rd St,New York,NY,10019
Atomix,104 E 30th St,New York,NY,10016
Aquavit,65 E 55th St,New York,NY,10022
Gabriel Kreuther,41 W 42nd St,New York,NY,10036
Jean-Georges,1 Central Park West,New York,NY,10023
Le Coucou,138 Lafayette St,New York,NY,10013
Daniel,60 E 65th St,New York,NY,10065
Estela,47 E Houston St,New York,NY,10012
Blue Hill at Stone Barns,630 Bedford Rd,Pocantico Hills,NY,10591
Sushi Ginza Onodera,461 5th Ave,New York,NY,10017
The Chef's Table at Brooklyn Fare,431 W 37th St,New York,NY,10018